"","IEE_est","IEEw_est","FE_est","FEw_est","EME_est","EMEw_est","NEME_est","NEMEw_est"
"381",0.556026090646266,0.431835780942898,0.595044292845256,0.532254207713779,0.576727330839604,0.438251332730429,0.489743468997139,0.209923293351897
"382",0.485256472876438,0.369889590965079,0.454157474524467,0.350380482796112,0.457054784254954,0.324850596225544,0.457054782328856,0.264231133821714
"383",0.41788027418963,0.294135443178383,0.453400992385149,0.254792003178649,0.423314570368594,0.262154657898094,0.423314567213093,0.226430713077457
"384",0.462679742301591,0.517227720520266,0.483583169126297,0.539771115433989,0.484599016388381,0.499341898470181,0.484599016353308,0.489074929375626
"385",0.404674604918753,0.404080876962649,0.481352585107112,0.477325190252314,0.469396109008076,0.39858290533115,0.46939656052304,0.391944400054646
"386",0.452895276411165,0.332213578085512,0.493291774523546,0.315811563122227,0.452895276411185,0.335777416959515,0.440477404195549,0.26488621742344
"387",0.434340313104965,0.434729320656019,0.478450908154273,0.405415465550892,0.472997822264434,0.423987771414112,0.472997818152792,0.423708053361815
"388",0.405503554912258,0.269061186575627,0.441701771451821,0.207567946765106,0.416119640129355,0.259102147517772,0.385290563400557,0.248171174883163
"389",0.505807711053113,0.373849124352401,0.529661367363211,0.398948832089264,0.514885779271866,0.348055944880941,0.469657348587993,0.323804193487595
"390",0.493119074363739,0.376545442423305,0.52617522564446,0.446825939608696,0.501465197210674,0.378361199646534,0.476895893005113,0.249923737814387
"391",0.441947339465394,0.400627973096889,0.503125982573582,0.367244046247681,0.496941453713192,0.347578830141267,0.496941454033502,0.217540960988897
"392",0.474418306681956,0.335096306969793,0.498619303015141,0.436819028429016,0.476576568763103,0.320135480491223,0.453818717435519,0.262154821211897
"393",0.440009918083033,0.157705523104152,0.424377284940419,0.175612148147345,0.411979717527959,0.110357486814855,0.323233413103952,0.0137750431186251
"394",0.475932137970887,0.260581092686924,0.417027650869375,0.289144578988568,0.406389309991446,0.241825149549426,0.37537507173773,0.185476736029979
"395",0.577298745983513,0.336696801387442,0.48212248828111,0.190390133841307,0.498450249148084,0.223718222704524,0.494373517999845,0.240042290269997
"396",0.471438005311165,0.319089479953737,0.478068268905714,0.350503480906629,0.466673726650618,0.297023793124701,0.454854080615642,0.302956465076159
"397",0.415612993408044,0.178911416374113,0.437705949591222,0.252327387085763,0.404888747482896,0.162607959085492,0.318381672050153,0.121154384450271
"398",0.456987179712299,0.431498789162678,0.491003792900024,0.354970133239385,0.484350728135146,0.405723637246199,0.478454092828491,0.329163092768539
"399",0.480043608716962,0.430538286055451,0.487656155956962,0.506257561466004,0.480018451091,0.44139532457651,0.479739172017791,0.24546183376906
"400",0.377501221145776,0.172789164149525,0.446320830194542,0.239112251923686,0.422367363993111,0.154871345436229,0.297260470852812,0.0378618707247359
"401",0.364294330859609,0.0871946997401181,0.439994805161236,0.280837622355717,0.421548627803324,0.163799332417668,0.413761074915141,-0.0358540697220292
"402",0.467365017826027,0.31091710189631,0.554020788789279,0.443669002782652,0.537587494479843,0.374538182495313,0.537587594746975,-0.0812935685455325
"403",0.403873741179132,0.272352727762438,0.539449584371069,0.327141249883534,0.515313804024115,0.326500026534192,0.354534433601277,0.235015644318689
"404",0.457915220615254,0.415960630140126,0.466385938632138,0.378015939065208,0.458519927432139,0.395931973953729,0.455447074961201,0.306618588416278
"405",0.370210860435589,0.354362963054583,0.501011159179048,0.354809177663515,0.481240732661647,0.361075727958397,0.478839748963113,0.369044249094038
"406",0.503521686191162,0.310890185384664,0.482831271288503,0.326622409940074,0.476629824999231,0.249997481851564,0.476629825058421,0.222379606205632
"407",0.458512533375418,0.307515045964488,0.41087680865288,0.287061151210293,0.429935493817386,0.249941895974555,0.429935500252167,0.280410256449674
"408",0.591273065063355,0.423804459049662,0.555539419208137,0.394426923635062,0.576935181008004,0.373395295751952,0.52156623924533,0.349360264848289
"409",0.443704294741284,0.268331848712946,0.429089291615187,0.26273726221544,0.413861722016988,0.284558578122562,0.388126365865357,0.276902368092082
"410",0.405783167250123,0.246736306809449,0.468149765487003,0.193450963254799,0.43561414473127,0.234594108502275,0.332807022009295,0.227388297573825
"411",0.521102035095606,0.450595832057258,0.515670421152134,0.398482583470708,0.517299578683049,0.409818407417035,0.503022418731637,0.336888604724486
"412",0.499851906402466,0.34308135158554,0.451254168971586,0.348844417656174,0.45061142785165,0.301013691012983,0.450611426650977,0.263392848974099
"413",0.517863326258723,0.359951363586127,0.455730280660354,0.296435388123975,0.457313105026751,0.265775916266081,0.457312792576269,0.218966819383423
"414",0.402135687201271,0.344191383126328,0.487757869678691,0.453223741663978,0.454366458710195,0.374219936946713,0.41500391652297,0.33472375030075
"415",0.561242937378549,0.29330074885555,0.491233781360205,0.253006591606922,0.487379047966821,0.22000445531329,0.472997985398525,0.173844201363753
"416",0.451003417447238,0.463507278133979,0.480073182755988,0.475272803137242,0.476385510538963,0.442604817173117,0.476385515451752,0.445889023400118
"417",0.478155910164082,0.327585627868971,0.506143096649062,0.259082289844963,0.497610233339655,0.305829746279904,0.476098578588824,0.222460698823673
"418",0.489073105375716,0.469893412998188,0.480811127723052,0.399513668552576,0.486594456300563,0.44941499624947,0.486594453046522,0.410932047846911
"419",0.528519731023857,0.421057560010234,0.505228443366144,0.510239305787066,0.501392995119756,0.396764239341807,0.496740544973499,0.337105379102258
"420",0.437322946683162,0.202891431149663,0.452868630744186,0.324257494592191,0.426140698858287,0.229391718898417,0.281311897715126,0.166844560395132
"421",0.564699260050744,0.395443505104819,0.517127238197828,0.347636499873011,0.538860533405325,0.350232683732717,0.538860735886754,0.267031854561653
"422",0.474815578303439,0.304957681387369,0.439377240198377,0.274144943317558,0.430547721615095,0.304374670037734,0.38708591893541,0.281789428220914
"423",0.546241185134933,0.354321772296972,0.517126125085096,0.300458026501389,0.518762723516303,0.306838022235979,0.494126639722677,0.258590383682878
"424",0.50158116109227,0.36390335378288,0.413660349668174,0.316733544922458,0.418504063103265,0.314395090685299,0.418504067666868,0.17107769920535
"425",0.425956372975548,0.271086480160444,0.414241684188914,0.320323981283746,0.409348618916471,0.224199855292689,0.386445222990831,0.208726319370778
"426",0.420484122868452,0.276075516292026,0.439867371397373,0.292220030462315,0.423797377774192,0.259397463067288,0.421340951492817,0.234556191332881
